故障模式分类及影响分析											重要故障分析		故障处理分析				断点续训恢复	故障注入分析				故障诊断分析						遗留问题		TOP20	TOP20-PR合入		可测试	错误码								错误码说明		故障模式支持情况（MindCluster维护）		
AI_MINDIE_LLM_TEXTGENERATOR_19	PD分离建链失败：网口down	AI软件	MINDIE	LLM	TextGenerator	平台软件	网口down	PD分离启动失败	启动失败	网络配置问题	否	否	for i in {0..7}; do hccn_tool -i $i -link -g ; done					是	修改网络配置		sudo hccn_tool -i 0 -link -s down在warm up结束后执行关闭网口	for i in {0..7}; do hccn_tool -i $i -link -g ; done	超时时间内会重试，直到超时：Link from {local_device_ip} to {remote_device_ip} failed, error code is {MIE05E01001B}	日志符合预期		启动服务				N				MIE	5	E	1	0	19	MIE05E01001B	TEXT_GENERATOR_PD_LINK_OUT_OF_TIME			是	630	[['MIE05E01001B'], ['Link from local_device_ip', 'to remote_device_ip', 'error'], ['Link from', 'to', 'failed']]
AI_MINDIE_LLM_TEXTGENERATOR_20	PD分离建链失败：HCCS未使能	AI软件	MINDIE	LLM	TextGenerator	平台软件	HCCS没使能	PD分离启动失败	启动失败	网络配置问题	否	否	npu-smi info -t topo					是	修改网络配置			npu-smi info -t topo	"超时时间内会重试，直到超时：Link from {local_device_ip} to {remote_device_ip} failed, error code is {MIE05E01001B}
    plog：linkType 1 is not supported"	日志符合预期		启动服务				N				MIE	5	E	1	0	19	MIE05E01001B	TEXT_GENERATOR_PD_LINK_OUT_OF_TIME			否		
AI_MINDIE_LLM_TEXTGENERATOR_21	PD分离建链失败：端口被其他进程占用	AI软件	MINDIE	LLM	TextGenerator	平台软件	端口被占用	PD分离启动失败	启动失败	功能异常	否	否	~/ascend/log/debug/plog					是	白盒测试		在该设备上启动其他进程并占用该端口	查看故障日志	"超时时间内会重试，直到超时：Link from {local_device_ip} to {remote_device_ip} failed, error code is {MIE05E01001B}
   plog：Listen on ip[xxx] and sepcific port[16666] fail. "	日志符合预期		启动服务				N				MIE	5	E	1	0	19	MIE05E01001B	TEXT_GENERATOR_PD_LINK_OUT_OF_TIME			否		
AI_MINDIE_LLM_TEXTGENERATOR_22	PD分离建链失败：一端下发建链请求，另一端没有下发建链	AI软件	MINDIE	LLM	TextGenerator	平台软件	对端故障没有下发或者建链成环发生死锁	PD分离启动失败	启动失败	功能异常	否	否	mindie/latest/mindie-llm/logs/pythonlog.log					是	修改配置		修改建链两端ranktable，使两边的找不到对端的建链请求	查看故障日志	超时时间内会重试，直到超时：Link from {local_device_ip} to {remote_device_ip} failed, error code is {MIE05E01001B}	日志符合预期		启动服务				N				MIE	5	E	1	0	19	MIE05E01001B	TEXT_GENERATOR_PD_LINK_OUT_OF_TIME			否		
AI_MINDIE_LLM_TEXTGENERATOR_23	PD分离pull_kv失败,网络问题	AI软件	MINDIE	LLM	TextGenerator	平台软件	网络闪断	推理失败	功能异常	网络问题	否	否	mindie/latest/mindie-llm/logs/pythonlog.log					是	白盒测试	拔网线	拔网线	查看故障日志	报错local_device_ip pull kv from {remote_device_ip} failed, error code is MIE05E01001A	日志符合预期		启动服务				N				MIE	5	E	1	0	1A	MIE05E01001A	TEXT_GENERATOR_PD_PULL_KV_ERROR			是	630	[['MIE05E01001A'], ['pull kv from', 'failed']]
AI_MINDIE_LLM_TEXTGENERATOR_24	PD分离pull_kv失败,网络问题	AI软件	MINDIE	LLM	TextGenerator	平台软件	交换机和npu网口以及数据发送方优先级队列配置不匹配	推理失败	功能异常	网络问题	否	否	mindie/latest/mindie-llm/logs/pythonlog.log					是	白盒测试	修改网络优先级队列的配置	修改网络优先级队列的配置	查看故障日志	报错local_device_ip pull kv from {remote_device_ip} failed, error code is MIE05E01001A	日志符合预期		启动服务				N				MIE	5	E	1	0	1A	MIE05E01001A	TEXT_GENERATOR_PD_PULL_KV_ERROR			否		
AI_MINDIE_LLM_TEXTGENERATOR_24	PD分离pull_kv失败,网络问题	AI软件	MINDIE	LLM	TextGenerator	平台软件	交换机pfc优先队列没有开启	推理失败	功能异常	网络问题	否	否	mindie/latest/mindie-llm/logs/pythonlog.log					是	白盒测试	关闭交换机pfc优先级队列	关闭交换机pfc优先级队列	查看故障日志	报错local_device_ip pull kv from {remote_device_ip} failed, error code is MIE05E01001A	日志符合预期		启动服务				N				MIE	5	E	1	0	1A	MIE05E01001A	TEXT_GENERATOR_PD_PULL_KV_ERROR			否		
AI_MINDIE_LLM_ATBMODELS_1	初始化失败：模型参数校验失败 	AI软件	MINDIE	LLM	ATB Models	平台软件	参数不在合法值范围内	启动失败	功能异常	用户使用错误	否	否	默认python侧不落盘	退出	记录错误日志,退出		不涉及	是	修改配置	"1.修改模型权重的config.json，例如llama1-7b中的config.json，修改""torch_dtype""为“float32""
2.运行对话测试，python examples/run_pa.py --model_path {llama1-7b路径}"	模型config.json中的torch_dtype修改为float32	查看故障日志	"Unsupported type: {param}, this field is only supported for type `xxx`, loaded from config.json -> {param}. The specific types supported by each model are different, please refer to the model README file.	自测通过		用户级调用				Y(含模型侧)	已合入			MIE	5	E	0	0	0	MIE05E000000	ATB_MODELS_PARAM_OUT_OF_RANGE			是	630	['MIE05E000000']
AI_MINDIE_LLM_ATBMODELS_2	初始化失败：模型权重加载 OOM ;Warm_up failed	AI软件	MINDIE	LLM	ATB Models	平台软件	初始化时显存不足	启动失败	功能异常	用户使用错误	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是			加载权重超过卡的显存大小	查看故障日志	"The model weights are too large to fit within the NPU memory. Try increasing the tensor parallel size or loading a smaller model.
RuntimeError: NPU out of memory xxx."			开发调试		对齐pytorch的OOM，明确OOM的原因；pytorch OOM 权重加载内存不足。						MIE	5	E	0	0		MIE05E0000				否		
AI_MINDIE_LLM_ATBMODELS_3	模型运行时：frammework setup校验失败	AI软件	MINDIE	LLM	ATB Models	平台软件	加速库setup失败	推理失败	功能异常	用户使用错误	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是			输入参数个数>5	查看故障日志	Setup fail, enable log: export ASDOPS_LOG_LEVEL=ERROR, export ASDOPS_LOG_TO_STDOUT=1 to find the first  error. For more details, see the MindIE official document. 			用户级调用								MIE	5		0			MIE0500				否		
AI_MINDIE_LLM_ATBMODELS_4	初始化失败：模型组图 param json校验失败	AI软件	MINDIE	LLM	ATB Models	平台软件	参数配置校验失败	启动失败	功能异常	用户配置错误	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是	ut测试	"1. 下载https://gitee.com/ascend/MindIE-LLM/blob/master/examples/atb_models/tests/pythontest/atb_llm/models/llama/test_set_param.py
2.在上述代码路径中，在安装有mindie的环境下运行MINDIE_LOG_TO_STDOUT=1 python test_set_param.py，可观察到报错日志和错误码，效果可见本行“备注”列"	模型代码中init_ascend_weight部分coder_param参数设置错误，具体方法可见ut：examples/atb_models/tests/pythontest/atb_llm/models/llama/test_set_param.py，测试方法为python -m unittest test_set_param.py	查看故障日志	[llm] [ERROR] [model_param.cpp:47] [MIE05E00001] Failed to parse parameter isUnpadInputs: [json.exception.out_of_range.403] key 'isUnpadInputs' not found. Please check the type of param.	自测通过		开发测试				Y(含模型侧)	已合入		是	MIE	5	E	0	0	1	MIE05E000001	ATB_MODELS_MODEL_PARAM_JSON_INVALID		#NAME?	是	630	['MIE05E000001']
AI_MINDIE_LLM_ATBMODELS_5	模型运行时：framework execute失败	AI软件	MINDIE	LLM	ATB Models	平台软件	加速库execute失败	推理失败	功能异常	用户使用错误	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	否	白盒测试	"若需要复现，需要运行多机推理并关闭npu网口（具体步骤可查看文档，询问郭小辉），或者侵入式修改cpp文件。建议进行白盒测试
已与测试方沟通，截图见本行“备注”。
"	多机多卡推理时关闭npu网口	查看故障日志	"execute fail, enable log: export ASDOPS_LOG_LEVEL=ERROR, export ASDOPS_LOG_TO_STDOUT=1 to find he first error. For more details, see the MindIE official document. 
              "	自测通过		用户级调用	白盒测试			Y	已合入		是	MIE	5	E	0	0	2	MIE05E000002	ATB_MODELS_EXECUTION_FAILURE		#NAME?	是	630	['MIE05E000002']
AI_MINDIE_LLM_ATBMODELS_6	模型运行时：framework OOM	AI软件	MINDIE	LLM	ATB Models	平台软件	运行时显存不足	推理失败	功能异常	用户使用错误	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是			npu_mem设置较大	查看故障日志	Npu out of memory, OOM 无需修改			用户级调用							是	MIE	5		0	0		MIE050000				否		
AI_MINDIE_LLM_ATBMODELS_7	权限问题	AI软件	MINDIE	LLM	ATB Models	平台软件	权重路径权限中其他用户包含写权限	推理失败	功能异常	用户配置错误	否	否		退出		tianyang，linfeng；安全校验异常报错需要额外添加新行 ；权限问题，联网问题等	不涉及	是			权重文件路径权限设为777																0							否		
AI_MINDIE_LLM_ATBMODELS_8	初始化失败：权重文件损坏	AI软件	MINDIE	LLM	ATB Models	平台软件	权重文件损坏	推理失败	功能异常	用户使用错误	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	是					Unable to open files in safetensors format. The weight files might be corrupted. Please check file intergrity. 待修改														0							否		
AI_MINDIE_LLM_ATBMODELS_9	transformer联网问题校验	AI软件	MINDIE	LLM	ATB Models	平台软件																															0							否		
AI_MINDIE_LLM_ATBMODELS_10	warmup失败：申请的kvcache小于输入输出最大规格	AI软件	MINDIE	LLM	ATB Models	平台软件	申请的kvcache小于输入输出最大规格：显存不足	推理失败	功能异常	用户使用错误	否	否	/usr/local/Ascend/mindie/latest/mindie-llm/logs/pythonlog.log	退出	记录错误日志,退出		不涉及	是			bs，输入长度设置过大，npu_mem设置过小	查看故障日志	Warmup failed. This issue could be caused by setting both `max_prefill_tokens` and `max_input_length` to very large values, or setting insufficient `npu_mem`. Reducing either `max_prefill_tokens` or `max_input_length` may help resolve this issue. If `npu_mem` is -1, try to increase the environment value `NPU_MEMORY_FRACTION` or `npu_mem` in configuration directly. Increase `world_size` can be another choice.			用户级调用											0							否		
AI_MINDIE_LLM_ATBMODELS_11	初始化失败：模型不支持	AI软件	MINDIE	LLM	ATB Models	平台软件	模型名不在ModelFactory支持的范围内	启动失败	功能异常	用户使用错误	 否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	退出	记录错误日志,退出		不涉及	 是			输入ModelFactory::GetRegistryMap()中不存在的ModelName	查看故障日志	"Not support modelName: " << modelName_ << ", not found in ModelFactory."需要日志修改，返回支持的modelname列表			用户级调用							是	MIE	5	E	0	0		MIE05E000003				否		
AI_MINDIE_LLM_ATBMODELS_12	模型运行时：framework execute失败	AI软件	MINDIE	LLM	ATB Models	平台软件	inTensorDescs输入张量描述符的合法性和兼容性有问题，加速库infershape失败	推理失败	功能异常	功能异常	 否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	记录错误日志	记录错误日志,退出		不涉及	是			改变atInTensors数据类型或引入不匹配的atInTensors输入	查看故障日志	name_ << " infer shape fail, error code: " << st;			开发调试							是	MIE	5	E	0	0		MIE05E000004				否		
AI_MINDIE_LLM_ATBMODELS_13	内部错误	AI软件	MINDIE	LLM	ATB Models	平台软件	请求的block tables被重复申请	推理失败	功能异常	功能异常	 否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	记录错误日志	记录错误日志,退出		不涉及					查看故障日志	f"req_id: {req.req_id} block has been allocated."			开发调试				N	已合入		是	MIE	5	E	0	0		MIE05E000004	ATB_MODELS_INTERNAL_ERROR			否		
